Rank;Vehicle;Driver;Time;PS / KG
188;Porsche 911 GT3 (996 facelift);unknown;7:54.00;380 / 1398
189;BMW M5 Competition (F10);unknown;7:54.00;575 / 1919
190;Mercedes-Benz CLK DTM;unknown;7:54.00;582 / 1678
191;Renault Megane RS 275 Trophy R;unknown;7:54.36;279 / 1302
192;Porsche Cayman S (981);Walter Rohrl;7:55.00;325 / 1391
193;Caterham R500 1.8L K Series;Robert Nearn;7:55.00;233 / 450
194;Mercedes-Benz E 63 AMG S;Horst von Saurma;7:55.00;585 / 1943
195;Renault Megane RS Trophy R;Christian Gebhardt;7:55.00;300 / 1314
196;Ferrari F430;unknown;7:55.00;490 / 1498
197;BMW M5 (F10);unknown;7:55.00;560 / 1917
198;BMW Z4 M40i (G29);unknown;7:55.41;340 / 1582
199;Porsche 911 Turbo (996);unknown;7:56.00;420 / 1573
200;Porsche Panamera Turbo;Walter Rohrl;7:56.00;500 / 1980
201;Chevrolet Corvette C5 Z06;Dave Hill;7:56.00;411 / 1418
202;Ferrari California GT;unknown;7:56.00;460 / 1787
203;Panamera Sport Chrono Turbo;Walter Rohrl;7:56.00;500 / 1974
204;Porsche 911 Carrera S (997);unknown;7:56.00;355 / 1470
205;Ferrari 360 CS;unknown;7:56.00;425 / 1280
206;Alpine A110 S (Mk II 292 PS);Christian Gebhardt;7:56.10;292 / 1135
207;SLS AMG Coupe Electric Drive;unknown;7:56.23;751 / 2095
208;Porsche 911 GT3 (996);Walter Rohrl;7:56.33;360 / 1379
209;Honda NSX-R (facelift);Motoharu Kurosawa;7:56.73;294 / 1270
210;Audi RS4 (B7);Frank Stippler;7:58.00;420 / 1720
211;BMW M2 (F87);unknown;7:58.00;375 / 1564
212;Porsche Boxster S (981);unknown;7:58.00;315 / 1393
213;Ford Mustang Mach 1;Christian Gebhardt;7:58.29;487 / 1753
214;Seat Leon Cupra 280 (Mk III);Jordi Gene;7:58.40;280 / 1347
215;BMW M240i XDrive;Christian Gebhardt;7:58.59;374 / 1737
216;Cupra Formentor VZ5;Christian Gebhardt;7:58.99;390 / 1636
217;Audi RS4 Avant (B9);Christian Gebhardt;7:59.00;450 / 1808
218;Audi RS5 (8T3 facelift);Horst von Saurma;7:59.00;450 / 1737
219;Lotus Evora 400;unknown;7:59.00;406 / 1440
220;Chevrolet Corvette C6;unknown;7:59.00;405 / 1486
221;Dodge Viper SRT-10;unknown;7:59.00;506 / 1561
222;Jaguar XKR-S Convertible;Sascha Bert;7:59.00;550 / 1897
223;Audi RS5 (8T3);Horst Von Saurma;7:59.00;450 / 1771
224;Porsche 911 Carrera S (997);Walter Rohrl;7:59.00;355 / 1470
225;Cadillac CTS-V (Mk II);John Heinricy;7:59.32;564 / 1951
226;Alpina B4 S Biturbo Coupé AWD;unknown;7:60.00;440 / 1680
227;Nissan Skyline GT-R (R33);Motoharu Kurosawa;8:01.00;280 / 1601
228;Bugatti EB 110 SS (US spec);unknown;8:01.00;600 / 1735
229;Mercedes-Benz C63 AMG Coupe;unknown;8:01.00;457 / 1730
230;C63 AMG Coupe Performance Pac..;Horst von Saurma;8:01.00;487 / 1783
231;Lamborghini Gallardo Spyder;Wolfgang Kaufmann;8:01.84;520 / 1749
232;Porsche 911 Carrera (991);Dag Johnsen;8:02.00;350 / 1434
233;Aston Martin DBS;unknown;8:02.00;517 / 1743
234;VW Golf R (Mk VIII);Christian Gebhardt;8:02.00;320 / 1529
235;Porsche 911 GT3 (996);Horst Von Saurma;8:03.00;360 / 1379
236;Alpine A110 (Mk II);Christian Gebhardt;8:03.00;252 / 1110
237;VW Golf GTI Clubsport;Christian Gebhardt;8:03.00;300 / 1432
238;Aston Martin V8 Vantage;unknown;8:03.00;385 / 1633
239;CLS 63 AMG Perfromance Package;unknown;8:03.00;557 / 1919
